Bankleitzahl,BIC
20690500,GENODEF1S11
20690500,
20690500,
20730000,HYVEDEMM314
20730001,HYVEDEMME01
20730002,HYVEDEMME02
20730003,HYVEDEMME03
20730004,HYVEDEMME04
20730005,HYVEDEMME05
20730006,HYVEDEMME06
20730007,HYVEDEMME07
20730008,HYVEDEMME08
20730009,HYVEDEMME09
20730010,HYVEDEMME10
20730011,HYVEDEMME11
20730012,HYVEDEMME12
20730013,HYVEDEMME13
20730014,HYVEDEMME14
20730015,HYVEDEMME15
20730016,HYVEDEMME16
20730017,HYVEDEMME17
20730018,HYVEDEMME18
20730019,HYVEDEMME19
20730020,HYVEDEMME20
20730021,HYVEDEMME21
20730022,HYVEDEMME22
20730023,HYVEDEMME23
20730024,HYVEDEMME24
20730025,HYVEDEMME25
20730026,HYVEDEMME26
20730027,HYVEDEMME27
20730028,HYVEDEMME28
20730029,HYVEDEMME29
20730030,HYVEDEMME30
20730031,HYVEDEMME31
20730032,HYVEDEMME32
20730033,HYVEDEMME33
20730034,HYVEDEMME34
20730035,HYVEDEMME35
20730036,HYVEDEMME36
20730037,HYVEDEMME37
20730038,HYVEDEMME38
20730039,HYVEDEMME39
20730040,HYVEDEMME40
20730051,HYVEDEMM316
20730053,HYVEDEMM330
20730054,HYVEDEMM324
20750000,NOLADE21HAM
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
20750000,
21000000,MARKDEF1210
21010111,ESSEDE5F210
21020600,SYBKDE22KIE
21030000,HYVEDEMM372
21030092,HYVEDEMM373
21030093,HYVEDEMM379
21030094,HYVEDEMM382
21030095,HYVEDEMM375
21040010,COBADEFF210
21040010,COBADEFF216
21042076,COBADEFF245
21050000,HSHNDEHHXXX
21050170,NOLADE21KIE
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21050170,
21051275,NOLADE21BOR
21051275,
21051275,
21051275,
21051275,
21051275,
21051275,
21051580,NOLADE21PLN
21052090,NOLADE21ECK
21060237,GENODEF1EDG
21060237,
21070020,DEUTDEHH210
21070020,DEUTDEHH214
21070024,DEUTDEDB210
21070024,DEUTDEDB214
21080050,DRESDEFF210
